question_template,program,state,model,majority_answer,agreement_rate,sources,avg_confidence
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,The Massachusetts Department of Transitional Assistance (DTA) administers SNAP (the Supplemental Nutrition Assistance Program) in Massachusetts.,0.2,https://www.mass.gov/about-the-dta | https://www.mass.gov/orgs/department-of-transitional-assistance,3.0
Which agency administers {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,The Rhode Island Department of Human Services (DHS) administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island.,0.2,https://dhs.ri.gov/ProgramsServices/FoodAssistance/SNAP | https://dhs.ri.gov/divisions/division-of-nutrition-assistance | https://dhs.ri.gov/food-assistance/snap | https://dhs.ri.gov/programs/snap | https://dhs.ri.gov/services/snap,3.0
Which agency administers {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,The Supplemental Nutrition Assistance Program (SNAP) in California is administered by the California Department of Social Services (CDSS) through its Food and Nutrition Assistance Program (FNAP).,0.4,https://www.cdss.ca.gov/Community-Services/CalFresh | https://www.cdss.ca.gov/food-nutrition-assistance | https://www.cdss.ca.gov/food-nutrition/fnap | https://www.cdss.ca.gov/inforesources/calfresh | https://www.cdss.ca.gov/inforesources/county-social-services-offices/food-and-nutrition-assistance-program-fnap,3.0
Which agency administers {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,"The New York State Office of Temporary and Disability Assistance (OTDA), which is part of the New York State Department of Social Services, administers the Supplemental Nutrition Assistance Program (SNAP) in New York.",0.4,https://ogs.ny.gov/food-assistance/supplemental-nutrition-assistance-program-snap | https://otda.ny.gov/programs/food-assistance/snap/ | https://otda.ny.gov/programs/snap/,3.0
Which agency administers {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,The Supplemental Nutrition Assistance Program (SNAP) in Texas is administered by the Texas Health and Human Services Commission (HHSC).,0.4,https://hhs.texas.gov/food-assistance/snap | https://hhs.texas.gov/food-nutrition/food-assistance-programs/snap-texas | https://hhs.texas.gov/services/food/nutrition-assistance/snap | https://hhs.texas.gov/services/food/snap-texas | https://hhs.texas.gov/services/food/supplemental-nutrition-assistance-program-snap,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,openai/gpt-oss-120b:free,"In Massachusetts, agencies must respond to public records requests within five business days, unless the request is for records that are physically stored off‑site; in that case, the agency has ten business days to respond.",0.25,"Mass.gov – ""Public Records Law (MGL c. 66) – Response Time"" (https://www.mass.gov/info-details/public-records-law-mgl-c-66) | Massachusetts Public Records Law, M.G.L. c. 66, § 10 (https://malegislature.gov/Laws/GeneralLaws/PartIV/TitleII/Chapter66/Section10) | https://www.mass.gov/doc/chapter-66-public-records-law-2023/pdf | https://www.mass.gov/public-records-law | news",3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,openai/gpt-oss-120b:free,"In Rhode Island, agencies must respond to public records requests, including those for Medicaid records, within 30 days of receipt of the request.",0.2,"https://www.ag.ri.gov/sites/default/files/documents/FOIA%20Guide.pdf (Rhode Island Attorney General, Public Records Law Guide) | https://www.ri.gov/documents/annualreports/2023/2023_APRA_Guidelines.pdf (Rhode Island Office of the Attorney General, Access to Public Records Act Guidelines) | https://www.ri.gov/records/ (Rhode Island Public Records Act guidelines) and https://dhs.ri.gov/ (Department of Human Services public records policy) | https://www.ri.gov/records/ (Rhode Island Public Records Law, § 38-2.2) | https://www.rilegislature.gov/Statutes/Titles/38/38-2-4.HTM",3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,openai/gpt-oss-120b:free,"California agencies must respond to public records requests, including those for Medicaid records, within 10 business days of receipt. They may extend this period by an additional 14 business days if a reasonable explanation is provided.",0.2,"California Public Records Act, Government Code § 552.12 (official state website: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=552.12) | https://www.courts.ca.gov/11233.htm (California Public Records Act – response time requirements) | https://www.dhcs.ca.gov/Pages/FOIA.aspx | https://www.dhcs.ca.gov/Pages/FOIA.aspx (California Department of Health Care Services FOIA page) | https://www.dhcs.ca.gov/about/Pages/Public-Records-Act.aspx (California Department of Health Care Services – Public Records Act page)",3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,openai/gpt-oss-120b:free,"Under New York’s Freedom of Information Law (FOIL), agencies must respond to a request for public records – including Medicaid records – within five business days after the request is deemed complete. If the agency needs more time, it must provide a written estimate of the additional time required.",0.2,"https://www.dhs.ny.gov/openrecords/freedom-of-information-law-foil | https://www.dos.ny.gov/foi/foi.html (New York Department of State, Freedom of Information Law – response time requirements) | https://www.dos.ny.gov/openrecords/foillaw.html (New York Department of State, Freedom of Information Law) | https://www.ny.gov/freedom-information-law-foil and https://www.health.ny.gov/about/foi.htm (New York State Department of Health FOIL page) | https://www.opr.ny.gov/foi/foi-law",3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,openai/gpt-oss-120b:free,"Under Texas Government Code §552.102, agencies must respond to a public records request within 10 business days. If the request involves a large volume of records, the agency may extend the response time by an additional 10 business days, but must notify the requester of the extension and the reason for it.",0.2,"https://statutes.capitol.texas.gov/Docs/GV/htm/GV.552.htm#552.102 | https://www.oag.texas.gov/consumer/publicinfo.htm (Texas Attorney General, Public Information Act guidelines) | https://www.texasattorneygeneral.gov/open-government/public-information-act | https://www.texasattorneygeneral.gov/public-information-act | https://www.texasattorneygeneral.gov/sites/default/files/files/consumer/public_information_act/pia_faq.pdf",3.0
