question_template,program,state,model,run_number,question_type,ground_truth,answer_extracted,source,confidence,run_correct
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,3,agency,The Massachusetts Department of Transitional Assistance (DTA),"The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Massachusetts Department of Transitional Assistance (DTA), which is part of the Executive Office of Health and Human Services.",https://www.mass.gov/orgs/department-of-transitional-assistance,high,True
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,4,agency,The Massachusetts Department of Transitional Assistance (DTA),"The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Department of Transitional Assistance (DTA), which is part of the Executive Office of Health and Human Services.",https://www.mass.gov/orgs/department-of-transitional-assistance,high,True
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,5,agency,The Massachusetts Department of Transitional Assistance (DTA),"The Massachusetts Department of Transitional Assistance (DTA), which is part of the Executive Office of Health and Human Services (EOHHS), administers the Supplemental Nutrition Assistance Program (SNAP) in the state.",https://www.mass.gov/about-the-dta,high,True
Which agency administers {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,1,agency,The Rhode Island Department of Human Services (DHS),"The Rhode Island Department of Human Services (DHS), specifically its Office of Nutrition Assistance, administers the Supplemental Nutrition Assistance Program (SNAP) in the state.",https://dhs.ri.gov/ProgramsServices/FoodAssistance/SNAP,high,True
Which agency administers {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,3,agency,The Rhode Island Department of Human Services (DHS),"The Rhode Island Department of Human Services (DHS), specifically its Division of SNAP, administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island.",https://dhs.ri.gov/services/snap,high,True
Which agency administers {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,5,agency,The Rhode Island Department of Human Services (DHS),The Rhode Island Department of Human Services (RIDHS) – Office of Food Assistance – administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island.,https://dhs.ri.gov/food-assistance/snap,high,True
Which agency administers {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,1,agency,The California Department of Social Services (CDSS),The Supplemental Nutrition Assistance Program (SNAP) in California is administered by the California Department of Social Services (CDSS) through its Food and Nutrition Assistance Program (FNAP).,https://www.cdss.ca.gov/food-nutrition-assistance,high,True
Which agency administers {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,2,agency,The California Department of Social Services (CDSS),The Supplemental Nutrition Assistance Program (SNAP) in California is administered by the California Department of Social Services (CDSS) through its Food and Nutrition Assistance Program (FNAP).,https://www.cdss.ca.gov/inforesources/county-social-services-offices/food-and-nutrition-assistance-program-fnap,high,True
Which agency administers {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,3,agency,The California Department of Social Services (CDSS),"The California Department of Social Services (CDSS), through its CalFresh program, administers SNAP in California.",https://www.cdss.ca.gov/Community-Services/CalFresh,high,True
Which agency administers {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,4,agency,The California Department of Social Services (CDSS),"The California Department of Social Services, specifically its Food and Nutrition Assistance Program (FNAP) division, administers SNAP in California.",https://www.cdss.ca.gov/food-nutrition/fnap,high,True
