question_template,program,state,model,majority_answer,agreement_rate,sources,avg_confidence
Which agency administers {program} in {state}?,SNAP,MA,qwen/qwen3.6-plus:free,The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Department of Transitional Assistance (DTA).,0.6,https://www.mass.gov/orgs/department-of-transitional-assistance,3.0
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,"The Massachusetts Department of Transitional Assistance (DTA), which is part of the Executive Office of Health and Human Services (EOHHS), administers the Supplemental Nutrition Assistance Program (SNAP) in the state.",0.33,https://www.mass.gov/about-the-dta | https://www.mass.gov/orgs/department-of-transitional-assistance,3.0
Which agency administers {program} in {state}?,SNAP,RI,qwen/qwen3.6-plus:free,Rhode Island Department of Human Services (DHS),0.6,https://dhs.ri.gov/ | https://dhs.ri.gov/services/food-assistance/supplemental-nutrition-assistance-program-snap | https://www.dhs.ri.gov/,3.0
Which agency administers {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,"The Rhode Island Department of Human Services (DHS), specifically its Division of SNAP, administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island.",0.33,https://dhs.ri.gov/ProgramsServices/FoodAssistance/SNAP | https://dhs.ri.gov/food-assistance/snap | https://dhs.ri.gov/services/snap,3.0
Which agency administers {program} in {state}?,SNAP,CA,qwen/qwen3.6-plus:free,"In California, SNAP is known as CalFresh and is administered at the state level by the California Department of Social Services (CDSS). The program is administered locally by county social services or welfare departments.",0.2,https://www.cdss.ca.gov/calfresh | https://www.cdss.ca.gov/food-nutrition/calfresh | https://www.cdss.ca.gov/inforesources/calfresh,3.0
Which agency administers {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,The Supplemental Nutrition Assistance Program (SNAP) in California is administered by the California Department of Social Services (CDSS) through its Food and Nutrition Assistance Program (FNAP).,0.4,https://www.cdss.ca.gov/Community-Services/CalFresh | https://www.cdss.ca.gov/food-nutrition-assistance | https://www.cdss.ca.gov/food-nutrition/fnap | https://www.cdss.ca.gov/inforesources/calfresh | https://www.cdss.ca.gov/inforesources/county-social-services-offices/food-and-nutrition-assistance-program-fnap,3.0
Which agency administers {program} in {state}?,SNAP,NY,qwen/qwen3.6-plus:free,"In New York, SNAP is administered at the state level by the New York State Office of Temporary and Disability Assistance (OTDA). At the local level, the program is administered by the individual county Departments of Social Services, and by the New York City Human Resources Administration (HRA) for residents of New York City.",0.2,https://otda.ny.gov/programs/snap/,3.0
Which agency administers {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,"The New York State Office of Temporary and Disability Assistance (OTDA), which is part of the New York State Department of Social Services, administers the Supplemental Nutrition Assistance Program (SNAP) in New York.",0.4,https://ogs.ny.gov/food-assistance/supplemental-nutrition-assistance-program-snap | https://otda.ny.gov/programs/food-assistance/snap/ | https://otda.ny.gov/programs/snap/,3.0
Which agency administers {program} in {state}?,SNAP,TX,qwen/qwen3.6-plus:free,The Supplemental Nutrition Assistance Program (SNAP) in Texas is administered by the Texas Health and Human Services Commission (HHSC).,0.4,https://hhs.texas.gov/services/food | https://hhs.texas.gov/services/food/food-stamps | https://hhs.texas.gov/services/food/food-stamps-snap | https://www.hhs.texas.gov/ | https://www.hhs.texas.gov/services/food/supplemental-nutrition-assistance-program-snap,3.0
Which agency administers {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,The Supplemental Nutrition Assistance Program (SNAP) in Texas is administered by the Texas Health and Human Services Commission (HHSC).,0.4,https://hhs.texas.gov/food-assistance/snap | https://hhs.texas.gov/food-nutrition/food-assistance-programs/snap-texas | https://hhs.texas.gov/services/food/nutrition-assistance/snap | https://hhs.texas.gov/services/food/snap-texas | https://hhs.texas.gov/services/food/supplemental-nutrition-assistance-program-snap,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,qwen/qwen3.6-plus:free,"Under the Massachusetts Public Records Act, state agencies, including those administering Medicaid (MassHealth), must respond to a public records request within 10 business days of receiving it. Within this timeframe, the agency's Records Access Officer must either grant access to the records, deny the request with a detailed explanation of the specific legal exemption being invoked (such as medical privacy laws), or provide written notice that the response will be delayed and provide an estimated date for when the records will be available.",0.2,"Massachusetts Public Records Access Office (Secretary of the Commonwealth), 'Public Records Law FAQs' - mass.gov | Massachusetts Secretary of the Commonwealth, Public Records Division (https://www.mass.gov/orgs/public-records-supervisor) | https://www.mass.gov/guides/massachusetts-public-records-law | https://www.mass.gov/how-to/make-a-public-records-request | https://www.mass.gov/info-details/public-records-law-faqs",3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,openai/gpt-oss-120b:free,"Under Massachusetts public records law (Chapter 66, Section 20), agencies must respond to a request for public records within five business days. If additional time is needed, the agency may extend the response deadline by up to ten additional business days, provided it notifies the requester of the extension and the reason for it. This rule applies to records requests directed to the Department of Transitional Assistance, the Executive Office of Health and Human Services, and other agencies that administer Medicaid (MassHealth).",0.5,https://www.mass.gov/doc/chapter-66-public-records-law-2023/pdf | https://www.mass.gov/public-records-law | news,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,qwen/qwen3.6-plus:free,"Under Rhode Island's Access to Public Records Act (APRA), state agencies (including those administering Medicaid, such as the Executive Office of Health and Human Services) have 10 business days from the receipt of a request to respond. Within this timeframe, the agency must notify the requester whether the records exist and are available, provide the records, deny the request with a justification, or state that additional time is needed (which is typically limited to a maximum extension of 20 business days). Note that while the agency must respond within 10 business days, specific personal Medicaid medical records are heavily protected and often exempt from public disclosure under HIPAA and state privacy laws, or are subject to HIPAA's 30-day timeline if requested directly by the patient for their own records.",0.2,"Rhode Island General Laws § 38-2-10 (Access to Public Records Act) - https://www.rilegislature.gov/statutes/TITLE38/38-2/38-2-10.htm | Rhode Island General Laws § 38-2-6; Rhode Island Attorney General's Office 'Access to Public Records Act: A Guide for Citizens and Agencies' | Rhode Island General Laws § 38-2-7 (Access to Public Records Act) - http://webserver.rilegislature.gov/Statutes/TITLE38/38-2/38-2-7.htm | Rhode Island General Laws, Title 38, Chapter 2: Access to Public Records Act (specifically R.I. Gen. Laws § 38-2-7 regarding response timeframes) | Rhode Island General Laws, Title 38, Chapter 38-2 (Access to Public Records Act)",3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,openai/gpt-oss-120b:free,"Rhode Island law requires state agencies, including the Department of Human Services (which processes Medicaid requests), to respond to a public records request within 20 business days of receiving the request.",0.33,"https://www.ri.gov/records/ (Rhode Island Public Records Act guidelines) and https://dhs.ri.gov/ (Department of Human Services public records policy) | https://www.ri.gov/records/ (Rhode Island Public Records Law, § 38-2.2) | https://www.rilegislature.gov/Statutes/Titles/38/38-2-4.HTM",3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,qwen/qwen3.6-plus:free,"In California, agencies have 10 calendar days from the receipt of a public records request to determine whether they possess disclosable records and to notify the requester, in accordance with the California Public Records Act (Government Code Section 6253(c)). Medicaid is administered as Medi-Cal in California, and records held by state agencies (such as the Department of Health Care Services) or county departments are subject to this timeline. If an agency encounters unusual circumstances that prevent them from fulfilling the request within the initial 10 days, they may extend the timeframe by an additional 14 days, provided they give the requester written notice detailing the reasons for the delay.",0.2,"California Government Code Section 6253(c) and California Department of Health Care Services (DHCS) Public Records Act Request guidelines | California Public Records Act (California Government Code § 6253) and California Department of Health Care Services (DHCS) Public Records Act guidelines | State of California Department of Justice, Office of the Attorney General: Summary of the California Public Records Act (Gov. Code, § 6250 et seq.); California Department of Health Care Services (DHCS) Public Records Act (CPRA) Request Guidelines | https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=6253.&lawCode=GOV | https://oag.ca.gov/public-records-act (California Public Records Act - Government Code Section 7922.715)",3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,openai/gpt-oss-120b:free,"Under the California Public Records Act, agencies such as the Department of Health Care Services (DHCS) must respond to public records requests within 10 calendar days of receipt, unless extensions are granted for clarification or to gather records.",1.0,https://www.dhcs.ca.gov/Pages/FOIA.aspx (California Department of Health Care Services FOIA page),3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,qwen/qwen3.6-plus:free,"Under New York State's Freedom of Information Law (FOIL), agencies have five business days from the receipt of a request to respond. Within this five business-day window, the agency must either make the requested Medicaid records available for copying, deny the request in writing with an explanation of the reasons for the denial, or provide a written acknowledgment of receipt and a reasonable estimated date for when the request will be granted or denied. (Note: While the agency must respond within this timeframe, specific individual Medicaid beneficiary records are generally exempt from public disclosure under FOIL due to strict federal HIPAA and state Social Services Law privacy protections.)",0.2,"New York State Department of State, Committee on Open Government - A Guide to the Freedom of Information Law (Public Officers Law Article 6, § 87) | New York State Public Officers Law Article 6 (Freedom of Information Law) and the NYS Committee on Open Government FOIL Guidelines | New York State Public Officers Law § 89(3) and the New York State Committee on Open Government 'FOIL Guide' (dos.ny.gov) | https://www.dos.ny.gov/coog/ | https://www.health.ny.gov/information_services/foil.htm",3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,openai/gpt-oss-120b:free,"Under New York’s Freedom of Information Law (FOIL), agencies must respond to a request for public records – including Medicaid records – within five business days after the request is deemed complete. If the agency needs more time, it must provide a written estimate of the additional time required.",0.2,"https://www.dhs.ny.gov/openrecords/freedom-of-information-law-foil | https://www.dos.ny.gov/foi/foi.html (New York Department of State, Freedom of Information Law – response time requirements) | https://www.dos.ny.gov/openrecords/foillaw.html (New York Department of State, Freedom of Information Law) | https://www.ny.gov/freedom-information-law-foil and https://www.health.ny.gov/about/foi.htm (New York State Department of Health FOIL page) | https://www.opr.ny.gov/foi/foi-law",3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,qwen/qwen3.6-plus:free,"In Texas, state agencies—including the Texas Health and Human Services Commission (HHSC), which administers Medicaid—generally have 10 business days to respond to a written public records request. This timeframe is mandated by the Texas Public Information Act (Texas Government Code, Chapter 552).",0.2,"Texas Attorney General's Office - Open Government Division (The Public Information Act, Texas Government Code Chapter 552) and Texas Health and Human Services Commission (HHSC) Public Information Request guidelines. | Texas Government Code, Chapter 552 (Texas Public Information Act) and the Texas Attorney General's Public Information Handbook | Texas Public Information Act (Chapter 552 of the Texas Government Code) and Texas Attorney General Open Government Division: https://www.texasattorneygeneral.gov/open-government | https://www.texasattorneygeneral.gov/open-government/public-information-act | https://www.texasattorneygeneral.gov/open/what-texas-public-information-act",3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,openai/gpt-oss-120b:free,"Under Texas Government Code §552.102, agencies must respond to a public records request within 10 business days. If the request involves a large volume of records, the agency may extend the response time by an additional 10 business days, but must notify the requester of the extension and the reason for it.",0.5,https://statutes.capitol.texas.gov/Docs/GV/htm/GV.552.htm#552.102 | https://www.texasattorneygeneral.gov/sites/default/files/files/consumer/public_information_act/pia_faq.pdf,3.0
What is the state-level administration address for {program} in {state}?,SNAP,MA,qwen/qwen3.6-plus:free,"In Massachusetts, the Supplemental Nutrition Assistance Program (SNAP) is administered by the Department of Transitional Assistance (DTA). The department's state-level headquarters is located at 600 Washington Street, Boston, MA 02111. The official central mailing address for SNAP documents, applications, and correspondence is DTA Correspondence, P.O. Box 4406, Boston, MA 02101.",0.25,https://www.mass.gov/orgs/department-of-transitional-assistance,2.75
What is the state-level administration address for {program} in {state}?,SNAP,RI,qwen/qwen3.6-plus:free,"Rhode Island Department of Human Services, 1511 Pontiac Avenue, Cranston, RI 02920",0.2,https://dhs.ri.gov | https://dhs.ri.gov/ | https://www.dhs.ri.gov/,3.0
What is the state-level administration address for {program} in {state}?,SNAP,CA,qwen/qwen3.6-plus:free,"In California, the SNAP program is known as CalFresh and is administered by the California Department of Social Services (CDSS). The state-level administrative headquarters address is: California Department of Social Services, 744 P Street, Sacramento, CA 95814.",0.2,https://cdss.ca.gov/ | https://www.cdss.ca.gov/ | https://www.cdss.ca.gov/Contact-Us,3.0
What is the state-level administration address for {program} in {state}?,SNAP,NY,qwen/qwen3.6-plus:free,"In New York State, the SNAP program is administered at the state level by the Office of Temporary and Disability Assistance (OTDA). The state-level administrative headquarters address is: 520 Washington Street, 2nd Floor, Albany, NY 12243. (Note: While this is the main state administrative office, SNAP applications and day-to-day case management are handled by local county Departments of Social Services).",0.2,https://otda.ny.gov/ | https://otda.ny.gov/about-otda/contact-us.asp | https://otda.ny.gov/contact/,3.0
What is the state-level administration address for {program} in {state}?,SNAP,TX,qwen/qwen3.6-plus:free,"In Texas, SNAP is administered by the Texas Health and Human Services Commission (HHSC). The central state-level administration physical address is 701 West 51st Street, Austin, TX 78746. For official mail and correspondence regarding the commission, the mailing address is P.O. Box 149030, Austin, TX 78714-9030.",0.2,Texas Health and Human Services (hhs.texas.gov/about/locations) | https://hhs.texas.gov/ | https://hhs.texas.gov/about/locations/health-and-human-services-commission-central-office | https://www.hhs.texas.gov/about-hhs/contact-hhs,3.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,qwen/qwen3.6-plus:free,"In Massachusetts, the WIC (Women, Infants, and Children) program is administered by the Massachusetts Department of Public Health (DPH). Public records requests for the department, including the WIC program, should be directed to the DPH Public Records Supervisor. The official email address to submit these requests is DPH.PublicRecords@state.ma.us. Requests can also be submitted electronically through the official online public records request portal on Mass.gov.",0.2,Mass.gov - Department of Public Health Public Records | Massachusetts Department of Public Health (mass.gov) | Massachusetts Department of Public Health - Public Records Requests (Mass.gov) | Massachusetts Department of Public Health official website (mass.gov/health) | https://www.mass.gov/orgs/department-of-public-health,2.2
