question_template,program,state,model,question_type,ground_truth,majority_answer,status,agreement_rate,avg_confidence
Which agency administers {program} in {state}?,SNAP,MA,qwen/qwen3.6-plus:free,agency,The Massachusetts Department of Transitional Assistance (DTA),The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Department of Transitional Assistance (DTA).,correct,0.6,3.0
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,agency,The Massachusetts Department of Transitional Assistance (DTA),"The Massachusetts Department of Transitional Assistance (DTA), which is part of the Executive Office of Health and Human Services (EOHHS), administers the Supplemental Nutrition Assistance Program (SNAP) in the state.",correct,0.33,3.0
Which agency administers {program} in {state}?,SNAP,RI,qwen/qwen3.6-plus:free,agency,The Rhode Island Department of Human Services (DHS),Rhode Island Department of Human Services (DHS),correct,0.6,3.0
Which agency administers {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,agency,The Rhode Island Department of Human Services (DHS),"The Rhode Island Department of Human Services (DHS), specifically its Division of SNAP, administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island.",correct,0.33,3.0
Which agency administers {program} in {state}?,SNAP,CA,qwen/qwen3.6-plus:free,agency,The California Department of Social Services (CDSS),"In California, SNAP is known as CalFresh and is administered at the state level by the California Department of Social Services (CDSS). The program is administered locally by county social services or welfare departments.",correct,0.2,3.0
Which agency administers {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,agency,The California Department of Social Services (CDSS),The Supplemental Nutrition Assistance Program (SNAP) in California is administered by the California Department of Social Services (CDSS) through its Food and Nutrition Assistance Program (FNAP).,correct,0.4,3.0
Which agency administers {program} in {state}?,SNAP,NY,qwen/qwen3.6-plus:free,agency,The New York State Office of Temporary and Disability Assistance (OTDA),"In New York, SNAP is administered at the state level by the New York State Office of Temporary and Disability Assistance (OTDA). At the local level, the program is administered by the individual county Departments of Social Services, and by the New York City Human Resources Administration (HRA) for residents of New York City.",correct,0.2,3.0
Which agency administers {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,agency,The New York State Office of Temporary and Disability Assistance (OTDA),"The New York State Office of Temporary and Disability Assistance (OTDA), which is part of the New York State Department of Social Services, administers the Supplemental Nutrition Assistance Program (SNAP) in New York.",correct,0.4,3.0
Which agency administers {program} in {state}?,SNAP,TX,qwen/qwen3.6-plus:free,agency,The Texas Health and Human Services Commission (HHSC),The Supplemental Nutrition Assistance Program (SNAP) in Texas is administered by the Texas Health and Human Services Commission (HHSC).,correct,0.4,3.0
Which agency administers {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,agency,The Texas Health and Human Services Commission (HHSC),The Supplemental Nutrition Assistance Program (SNAP) in Texas is administered by the Texas Health and Human Services Commission (HHSC).,correct,0.4,3.0
