question_template,program,state,model,question_type,ground_truth,majority_answer,status,agreement_rate,avg_confidence
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,agency,The Massachusetts Department of Transitional Assistance (DTA),The Massachusetts Department of Transitional Assistance (DTA) administers SNAP (the Supplemental Nutrition Assistance Program) in Massachusetts.,correct,0.2,3.0
Which agency administers {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,agency,The Rhode Island Department of Human Services (DHS),The Rhode Island Department of Human Services (DHS) administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island.,correct,0.2,3.0
Which agency administers {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,agency,The California Department of Social Services (CDSS),The Supplemental Nutrition Assistance Program (SNAP) in California is administered by the California Department of Social Services (CDSS) through its Food and Nutrition Assistance Program (FNAP).,correct,0.4,3.0
Which agency administers {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,agency,The New York State Office of Temporary and Disability Assistance (OTDA),"The New York State Office of Temporary and Disability Assistance (OTDA), which is part of the New York State Department of Social Services, administers the Supplemental Nutrition Assistance Program (SNAP) in New York.",correct,0.4,3.0
Which agency administers {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,agency,The Texas Health and Human Services Commission (HHSC),The Supplemental Nutrition Assistance Program (SNAP) in Texas is administered by the Texas Health and Human Services Commission (HHSC).,correct,0.4,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,MA,openai/gpt-oss-120b:free,response_time,10 business days with 20-30 business days extension,"In Massachusetts, agencies must respond to public records requests within five business days, unless the request is for records that are physically stored off‑site; in that case, the agency has ten business days to respond.",correct,0.25,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,RI,openai/gpt-oss-120b:free,response_time,10 business days with 20 business days extension,"In Rhode Island, agencies must respond to public records requests, including those for Medicaid records, within 30 days of receipt of the request.",incorrect,0.2,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,CA,openai/gpt-oss-120b:free,response_time,10 calendar days  with 14 calendar days extension,"California agencies must respond to public records requests, including those for Medicaid records, within 10 business days of receipt. They may extend this period by an additional 14 business days if a reasonable explanation is provided.",incorrect,0.2,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,NY,openai/gpt-oss-120b:free,response_time,5 business days with 15 business days extension,"Under New York’s Freedom of Information Law (FOIL), agencies must respond to a request for public records – including Medicaid records – within five business days after the request is deemed complete. If the agency needs more time, it must provide a written estimate of the additional time required.",correct,0.2,3.0
"In {state}, how much time do agencies have to respond to public records requests on {program}?",Medicaid,TX,openai/gpt-oss-120b:free,response_time,10 business days,"Under Texas Government Code §552.102, agencies must respond to a public records request within 10 business days. If the request involves a large volume of records, the agency may extend the response time by an additional 10 business days, but must notify the requester of the extension and the reason for it.",correct,0.2,3.0
What is the state-level administration address for {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,address,"DTA Document Processing Center
P.O. Box 4406
Taunton, MA 02780-0420","Department of Transitional Assistance (DTA), SNAP Division, 24th Floor, 60 Franklin Street, Boston, MA 02110",incorrect,0.2,3.0
What is the state-level administration address for {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,address,"RI Department of Human Services
P.O. Box 8709
Cranston, RI 02920-8787","Division of Nutrition Assistance, Office of the Executive Director, Rhode Island Department of Human Services, 33 Westminster Street, Providence, RI 02903",incorrect,0.2,3.0
What is the state-level administration address for {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,address,"California Department of Social Services
744 P Street
Sacramento, CA 95814","California Department of Social Services, CalFresh (SNAP) Administration
1020 O Street, Sacramento, CA 95814",correct,0.2,3.0
What is the state-level administration address for {program} in {state}?,SNAP,NY,openai/gpt-oss-120b:free,address,"New York State Office of Temporary and Disability Assistance
40 North Pearl Street
Albany, NY 12243","New York State Office of Temporary Assistance (OTDA) – SNAP Administration
1 Washington Avenue
Albany, NY 12230",incorrect,0.2,3.0
What is the state-level administration address for {program} in {state}?,SNAP,TX,openai/gpt-oss-120b:free,address,"Texas Health and Human Services Commission
P.O. Box 149027
Austin, TX 78714-9027","Food Assistance Division, Texas Health and Human Services Commission, 1019 N. Lamar Street, Austin, TX 78701",incorrect,0.2,3.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,MA,openai/gpt-oss-120b:free,email,DPH.RAO@state.ma.us,OpenRecords@mass.gov,incorrect,0.2,2.8
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,RI,openai/gpt-oss-120b:free,email,pamela.lopes@health.ri.gov,wic@health.ri.gov,incorrect,0.4,2.8
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,CA,openai/gpt-oss-120b:free,email,WIC@cdph.ca.gov,FOIARequests@cdph.ca.gov,incorrect,0.2,3.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,NY,openai/gpt-oss-120b:free,email,foil@health.ny.gov,WICPublicRecords@health.ny.gov,incorrect,0.2,3.0
what is the public records requests email address for the agency that administers {program} in {state}?,WIC,TX,openai/gpt-oss-120b:free,email,OpenRecordsRequest@hhs.texas.gov,The Texas Department of State Health Services – WIC Program can be contacted for public records requests via email at: requests@dshs.texas.gov,incorrect,0.2,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,MA,openai/gpt-oss-120b:free,phone,(800) 632-8175,1-800-626-4742,incorrect,0.2,2.6
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,RI,openai/gpt-oss-120b:free,phone,1-855-697-4347,1‑800‑242‑7615 (RI LIHEAP Hotline),incorrect,0.2,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,CA,openai/gpt-oss-120b:free,phone,1-866-675-6623,1-800-952-5210 (California Department of Community Services and Development LIHEAP Call Center),incorrect,0.2,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,NY,openai/gpt-oss-120b:free,phone,1-800-342-3009,1-800-342-2875 (LIHEAP Consumer Hotline for New York State),incorrect,0.2,3.0
What phone number should the public use to contact the state-level agency that administers {program} in {state}?,LIHEAP,TX,openai/gpt-oss-120b:free,phone,1-877-399-8939,1-800-252-8683,incorrect,0.2,2.8
Which agency administers {program} in {state}?,SNAP,MA,anthropic/claude-opus-4.7,agency,The Massachusetts Department of Transitional Assistance (DTA),"The Department of Transitional Assistance (DTA), which is part of the Massachusetts Executive Office of Health and Human Services, administers SNAP in Massachusetts.",correct,0.8,3.0
Which agency administers {program} in {state}?,SNAP,RI,anthropic/claude-opus-4.7,agency,The Rhode Island Department of Human Services (DHS),The Rhode Island Department of Human Services (DHS) administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island.,correct,0.8,3.0
Which agency administers {program} in {state}?,SNAP,CA,anthropic/claude-opus-4.7,agency,The California Department of Social Services (CDSS),"The California Department of Social Services (CDSS) administers SNAP in California, where the program is known as CalFresh. It is administered at the local level by county human services agencies.",correct,1.0,3.0
Which agency administers {program} in {state}?,SNAP,NY,anthropic/claude-opus-4.7,agency,The New York State Office of Temporary and Disability Assistance (OTDA),"The New York State Office of Temporary and Disability Assistance (OTDA) administers SNAP in New York, with local social services districts (such as the NYC Human Resources Administration) handling application processing and day-to-day operations.",correct,0.2,3.0
Which agency administers {program} in {state}?,SNAP,TX,anthropic/claude-opus-4.7,agency,The Texas Health and Human Services Commission (HHSC),The Texas Health and Human Services Commission (HHSC) administers the Supplemental Nutrition Assistance Program (SNAP) in Texas.,correct,0.8,3.0
