question_template,program,state,model,run_number,prompt_sent,response_json,answer_extracted,source,confidence,timestamp,error
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,3,Which agency administers SNAP in Massachusetts?,"{
  ""answer"": ""The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Massachusetts Department of Transitional Assistance (DTA), which is part of the Executive Office of Health and Human Services."",
  ""source"": ""https://www.mass.gov/orgs/department-of-transitional-assistance"",
  ""confidence"": ""high""
}","The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Massachusetts Department of Transitional Assistance (DTA), which is part of the Executive Office of Health and Human Services.",https://www.mass.gov/orgs/department-of-transitional-assistance,high,2026-04-06T02:41:49.439606+00:00,
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,4,Which agency administers SNAP in Massachusetts?,"{
  ""answer"": ""The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Department of Transitional Assistance (DTA), which is part of the Executive Office of Health and Human Services."",
  ""source"": ""https://www.mass.gov/orgs/department-of-transitional-assistance"",
  ""confidence"": ""high""
}","The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Department of Transitional Assistance (DTA), which is part of the Executive Office of Health and Human Services.",https://www.mass.gov/orgs/department-of-transitional-assistance,high,2026-04-06T02:41:53.449881+00:00,
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,5,Which agency administers SNAP in Massachusetts?,"{
  ""answer"": ""The Massachusetts Department of Transitional Assistance (DTA), which is part of the Executive Office of Health and Human Services (EOHHS), administers the Supplemental Nutrition Assistance Program (SNAP) in the state."",
  ""source"": ""https://www.mass.gov/about-the-dta"",
  ""confidence"": ""high""
}","The Massachusetts Department of Transitional Assistance (DTA), which is part of the Executive Office of Health and Human Services (EOHHS), administers the Supplemental Nutrition Assistance Program (SNAP) in the state.",https://www.mass.gov/about-the-dta,high,2026-04-06T02:41:58.262085+00:00,
Which agency administers {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,1,Which agency administers SNAP in Rhode Island?,"{
  ""answer"": ""The Rhode Island Department of Human Services (DHS), specifically its Office of Nutrition Assistance, administers the Supplemental Nutrition Assistance Program (SNAP) in the state."",
  ""source"": ""https://dhs.ri.gov/ProgramsServices/FoodAssistance/SNAP"",
  ""confidence"": ""high""
}","The Rhode Island Department of Human Services (DHS), specifically its Office of Nutrition Assistance, administers the Supplemental Nutrition Assistance Program (SNAP) in the state.",https://dhs.ri.gov/ProgramsServices/FoodAssistance/SNAP,high,2026-04-06T02:44:06.279678+00:00,
Which agency administers {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,3,Which agency administers SNAP in Rhode Island?,"{
  ""answer"": ""The Rhode Island Department of Human Services (DHS), specifically its Division of SNAP, administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island."",
  ""source"": ""https://dhs.ri.gov/services/snap"",
  ""confidence"": ""high""
}","The Rhode Island Department of Human Services (DHS), specifically its Division of SNAP, administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island.",https://dhs.ri.gov/services/snap,high,2026-04-06T02:44:16.242848+00:00,
Which agency administers {program} in {state}?,SNAP,RI,openai/gpt-oss-120b:free,5,Which agency administers SNAP in Rhode Island?,"{
  ""answer"": ""The Rhode Island Department of Human Services (RIDHS) – Office of Food Assistance – administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island."",
  ""source"": ""https://dhs.ri.gov/food-assistance/snap"",
  ""confidence"": ""high""
}",The Rhode Island Department of Human Services (RIDHS) – Office of Food Assistance – administers the Supplemental Nutrition Assistance Program (SNAP) in Rhode Island.,https://dhs.ri.gov/food-assistance/snap,high,2026-04-06T02:44:26.154643+00:00,
Which agency administers {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,1,Which agency administers SNAP in California?,"{
  ""answer"": ""The Supplemental Nutrition Assistance Program (SNAP) in California is administered by the California Department of Social Services (CDSS) through its Food and Nutrition Assistance Program (FNAP)."",
  ""source"": ""https://www.cdss.ca.gov/food-nutrition-assistance"",
  ""confidence"": ""high""
}",The Supplemental Nutrition Assistance Program (SNAP) in California is administered by the California Department of Social Services (CDSS) through its Food and Nutrition Assistance Program (FNAP).,https://www.cdss.ca.gov/food-nutrition-assistance,high,2026-04-06T02:45:51.753889+00:00,
Which agency administers {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,2,Which agency administers SNAP in California?,"{
  ""answer"": ""The Supplemental Nutrition Assistance Program (SNAP) in California is administered by the California Department of Social Services (CDSS) through its Food and Nutrition Assistance Program (FNAP)."",
  ""source"": ""https://www.cdss.ca.gov/inforesources/county-social-services-offices/food-and-nutrition-assistance-program-fnap"",
  ""confidence"": ""high""
}",The Supplemental Nutrition Assistance Program (SNAP) in California is administered by the California Department of Social Services (CDSS) through its Food and Nutrition Assistance Program (FNAP).,https://www.cdss.ca.gov/inforesources/county-social-services-offices/food-and-nutrition-assistance-program-fnap,high,2026-04-06T02:45:56.950395+00:00,
Which agency administers {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,3,Which agency administers SNAP in California?,"{
  ""answer"": ""The California Department of Social Services (CDSS), through its CalFresh program, administers SNAP in California."",
  ""source"": ""https://www.cdss.ca.gov/Community-Services/CalFresh"",
  ""confidence"": ""high""
}","The California Department of Social Services (CDSS), through its CalFresh program, administers SNAP in California.",https://www.cdss.ca.gov/Community-Services/CalFresh,high,2026-04-06T02:46:00.487818+00:00,
Which agency administers {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,4,Which agency administers SNAP in California?,"{
  ""answer"": ""The California Department of Social Services, specifically its Food and Nutrition Assistance Program (FNAP) division, administers SNAP in California."",
  ""source"": ""https://www.cdss.ca.gov/food-nutrition/fnap"",
  ""confidence"": ""high""
}","The California Department of Social Services, specifically its Food and Nutrition Assistance Program (FNAP) division, administers SNAP in California.",https://www.cdss.ca.gov/food-nutrition/fnap,high,2026-04-06T02:46:05.416422+00:00,
Which agency administers {program} in {state}?,SNAP,CA,openai/gpt-oss-120b:free,5,Which agency administers SNAP in California?,"{
  ""answer"": ""In California, SNAP (referred to as CalFresh) is administered by the California Department of Social Services, Food and Nutrition Division."",
  ""source"": ""https://www.cdss.ca.gov/inforesources/calfresh"",
  ""confidence"": ""high""
}","In California, SNAP (referred to as CalFresh) is administered by the California Department of Social Services, Food and Nutrition Division.",https://www.cdss.ca.gov/inforesources/calfresh,high,2026-04-06T02:46:09.303883+00:00,
