question_template,program,state,model,run_number,prompt_sent,response_json,answer_extracted,source,confidence,timestamp,error
Which agency administers {program} in {state}?,SNAP,MA,qwen/qwen3.6-plus:free,1,Which agency administers SNAP in Massachusetts?,"{
  ""answer"": ""The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Department of Transitional Assistance (DTA)."",
  ""source"": ""https://www.mass.gov/orgs/department-of-transitional-assistance"",
  ""confidence"": ""high""
}",The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Department of Transitional Assistance (DTA).,https://www.mass.gov/orgs/department-of-transitional-assistance,high,2026-04-06T02:40:33.427226+00:00,
Which agency administers {program} in {state}?,SNAP,MA,qwen/qwen3.6-plus:free,2,Which agency administers SNAP in Massachusetts?,"{
  ""answer"": ""The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Department of Transitional Assistance (DTA)."",
  ""source"": ""https://www.mass.gov/orgs/department-of-transitional-assistance"",
  ""confidence"": ""high""
}",The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Department of Transitional Assistance (DTA).,https://www.mass.gov/orgs/department-of-transitional-assistance,high,2026-04-06T02:40:50.898731+00:00,
Which agency administers {program} in {state}?,SNAP,MA,qwen/qwen3.6-plus:free,3,Which agency administers SNAP in Massachusetts?,"{
  ""answer"": ""The Department of Transitional Assistance (DTA) administers the Supplemental Nutrition Assistance Program (SNAP) in Massachusetts."",
  ""source"": ""https://www.mass.gov/orgs/department-of-transitional-assistance"",
  ""confidence"": ""high""
}",The Department of Transitional Assistance (DTA) administers the Supplemental Nutrition Assistance Program (SNAP) in Massachusetts.,https://www.mass.gov/orgs/department-of-transitional-assistance,high,2026-04-06T02:41:04.945765+00:00,
Which agency administers {program} in {state}?,SNAP,MA,qwen/qwen3.6-plus:free,4,Which agency administers SNAP in Massachusetts?,"{
  ""answer"": ""The Department of Transitional Assistance (DTA)"",
  ""source"": ""https://www.mass.gov/orgs/department-of-transitional-assistance"",
  ""confidence"": ""high""
}",The Department of Transitional Assistance (DTA),https://www.mass.gov/orgs/department-of-transitional-assistance,high,2026-04-06T02:41:17.446077+00:00,
Which agency administers {program} in {state}?,SNAP,MA,qwen/qwen3.6-plus:free,5,Which agency administers SNAP in Massachusetts?,"{
  ""answer"": ""The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Department of Transitional Assistance (DTA)."",
  ""source"": ""https://www.mass.gov/orgs/department-of-transitional-assistance"",
  ""confidence"": ""high""
}",The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Department of Transitional Assistance (DTA).,https://www.mass.gov/orgs/department-of-transitional-assistance,high,2026-04-06T02:41:34.093478+00:00,
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,3,Which agency administers SNAP in Massachusetts?,"{
  ""answer"": ""The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Massachusetts Department of Transitional Assistance (DTA), which is part of the Executive Office of Health and Human Services."",
  ""source"": ""https://www.mass.gov/orgs/department-of-transitional-assistance"",
  ""confidence"": ""high""
}","The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Massachusetts Department of Transitional Assistance (DTA), which is part of the Executive Office of Health and Human Services.",https://www.mass.gov/orgs/department-of-transitional-assistance,high,2026-04-06T02:41:49.439606+00:00,
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,4,Which agency administers SNAP in Massachusetts?,"{
  ""answer"": ""The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Department of Transitional Assistance (DTA), which is part of the Executive Office of Health and Human Services."",
  ""source"": ""https://www.mass.gov/orgs/department-of-transitional-assistance"",
  ""confidence"": ""high""
}","The Supplemental Nutrition Assistance Program (SNAP) in Massachusetts is administered by the Department of Transitional Assistance (DTA), which is part of the Executive Office of Health and Human Services.",https://www.mass.gov/orgs/department-of-transitional-assistance,high,2026-04-06T02:41:53.449881+00:00,
Which agency administers {program} in {state}?,SNAP,MA,openai/gpt-oss-120b:free,5,Which agency administers SNAP in Massachusetts?,"{
  ""answer"": ""The Massachusetts Department of Transitional Assistance (DTA), which is part of the Executive Office of Health and Human Services (EOHHS), administers the Supplemental Nutrition Assistance Program (SNAP) in the state."",
  ""source"": ""https://www.mass.gov/about-the-dta"",
  ""confidence"": ""high""
}","The Massachusetts Department of Transitional Assistance (DTA), which is part of the Executive Office of Health and Human Services (EOHHS), administers the Supplemental Nutrition Assistance Program (SNAP) in the state.",https://www.mass.gov/about-the-dta,high,2026-04-06T02:41:58.262085+00:00,
Which agency administers {program} in {state}?,SNAP,RI,qwen/qwen3.6-plus:free,1,Which agency administers SNAP in Rhode Island?,"{
  ""answer"": ""The Supplemental Nutrition Assistance Program (SNAP) in Rhode Island is administered by the Rhode Island Department of Human Services (DHS)."",
  ""source"": ""https://dhs.ri.gov/"",
  ""confidence"": ""high""
}",The Supplemental Nutrition Assistance Program (SNAP) in Rhode Island is administered by the Rhode Island Department of Human Services (DHS).,https://dhs.ri.gov/,high,2026-04-06T02:42:33.633517+00:00,
Which agency administers {program} in {state}?,SNAP,RI,qwen/qwen3.6-plus:free,2,Which agency administers SNAP in Rhode Island?,"{
  ""answer"": ""Rhode Island Department of Human Services (DHS), specifically the Division of Family Assistance"",
  ""source"": ""https://dhs.ri.gov/"",
  ""confidence"": ""high""
}","Rhode Island Department of Human Services (DHS), specifically the Division of Family Assistance",https://dhs.ri.gov/,high,2026-04-06T02:43:05.619805+00:00,
